Store Name,Address,latitude,longitude
Juru Auto-City,"1821-G1, Jalan Perusahaan,Highway Auto-City Prai Industrial Estate,Penang 13600",5.3376036,100.4284266
"Centrepoint, KK","Lot No. P37, 4th Floor,Palm Square, Centre Point Sabah, No.1, Jalan Centre Point,Sabah 88000",5.9786328,116.0721898
"Warisan Square, KK","Lot No.8 Ground & 1st Floor Block C Warisan Square,Jalan Fuad StephenSabah 88000",5.979078899999999,116.070876
Queensbay Mall,"GF-36, Ground Floor,Queensbay Mall, 100, Persiaran Bayan Indah,Penang 11900",5.333177399999999,100.3066084
AEON Cheras Selatan,"Lot G31,  AEON Cheras Selatan Shopping Centre,Lebuh Tun Hussien Onn,Selangor 43200",3.0335689,101.7650417
Queensbay Mall 2,"Unit No: 1F-K1/P2 [Postal No.: 1F-108/109], First FloorQueensbay Mall, 100, Persiaran Bayan Indah,Penang 11900",5.333048799999999,100.3065283
The Starling,"G-039, Ground Floor,The Starling, 6, Jalan SS21/37, Damansara Uptown,Selangor 47400",3.1343882,101.6232238
Centro Klang,"Lot G135,  Ground Floor,No.8, Jalan Batu 3,Selangor 41300",3.0465939,101.449508
Pearl Point,"Lot No. 1.0.26, Ground Floor,Pearl Point Shopping Mall,Batu 5,Kuala Lumpur 41300",3.0846537,101.6730707
"City Mall, KK","Lot No.4, Ground Floor City Mall,Jalan Lintas Luyang,Sabah 88300",5.961238,116.0973686
"Metro Point, Kajang","Lot G19 & G30, Ground Floor,Metro Point Complex,Selangor 43000",2.9916367,101.793722
Kuching International Airport,"Lot L3L 07, 08 & 09, Level 3,Departure Hall (Public Concourse) Kuching International Airport,Sarawak 93722",1.4870324,110.3416063
Langkawi International Airport,"Lot FH05, Food Hall, Level 1,Departure Hall (Landside), LIA,Kedah 7000",6.1183964,100.3684595
Pavilion 1,"Lot C 3.08.00 & C3.09.00, Level 3Pavilion Kuala Lumpur,Kuala Lumpur 55100",3.1488558,101.7132547
Reserve The Gardens Mid Valley,"Lot S-226B Second Floor ,Mid Valley City Gardens,Kuala Lumpur 59200",3.1174073,101.6780545
Sunway Pyramid 2,"Lot LG1.110, Lower Ground 1,Sunway Pyramid Jalan PJS 11/15 Bandar  SunwaySelangor 59200",3.0716563,101.6059344
Kota Damansara,"No.1 Ground FloorJalan PJU 5/11 Dataran Sunway,Kota Damansara,Selangor 47810",3.1527711,101.5935675
Lagenda Village Mall,"Lot G-9, G-15, G-16 Ground FloorVillage Mall Jalan Legenda 1, Legenda HeightsKedah 08000",5.6602806,100.5013424
Cap Square,"Unit 01-01, Ground Floor,Cap Square TowerKuala Lumpur 50100",3.1541482,101.7001134
AEON Bukit Tinggi,"Lot G22 AEON Bukit Tinggi Shopping Centre,No.1 Persiaran Batu Nilam 1/KS6,Selangor 41200",2.9942378,101.4443991
Jaya 1,"Lot No. G.013, Ground Floor,The Square, Jaya One, Jalan Universiti, Seksyen 13Selangor 46300",3.1176708,101.635702
3 Two Square,"C-17-01, Dataran 32No.2, Jalan 19/1Selangor 46300",3.1111025,101.6319897
Menara Hap Seng,"Suite G-09, Ground Floor,The Podium Menara Hap Seng,Kuala Lumpur 50250",3.1528311,101.707417
Cameron Highlands,"Unit No. 22 & 23, Ground Floor & 1st Floor,Tanah Rata Cameron Highlands,Pahang 39000",4.470611,101.376639
One Borneo 1,"Unit G-832 , F-832, & F832A, Ground & First Floor,One Borneo Hypermall, Jalan Sulaman,Sabah 88000",6.034971,116.1291922
SS2,"No.3 SS2/67Taman Sea,Selangor 47300",3.118488,101.623116
